ID,ID-Admin,Name,Address,Location,Price,Cuisine,Longitude,Latitude,delivery,online
MIC-012631,ADM-000001,La Cucina di Donna Carmela,"contrada Grotte 7, località Carruba di Riposto, Riposto, 95018, Italy","Riposto, Italy",€€€,"Sicilian, Modern Cuisine",3008.16.00,11314.04.00,sì,sì
MIC-012632,ADM-000001,Trattoria della Posta,"Località Sant'Anna 87, Monforte d'Alba, 12065, Italy","Monforte d'Alba, Italy",€€,"Piedmontese, Classic Cuisine",164783.03.00,95792.18.00,no,no
MIC-012633,ADM-000001,Il Calandrino,"via Liguria 1, loc. Sarmeola, Rubano, 35030, Italy","Rubano, Italy",€€€,"Contemporary, Italian",134940.27.00,70312.47.00,sì,sì
MIC-012634,ADM-000001,Coppola Rossa,"via Maddalena 28, Manfredonia, 71043, Italy","Manfredonia, Italy",€€,Seafood,152588.17.00,104495.13.00,no,no
MIC-012635,ADM-000001,Da Manuela,"frazione Capraglia, Isola Sant'Antonio, 15050, Italy","Isola Sant'Antonio, Italy",€€,"Country cooking, Regional Cuisine",137558.02.00,5927.15.00,sì,sì
MIC-012636,ADM-000001,Hostaria alla Tavernetta,"via Artico di Prampero 2, Udine, 33100, Italy","Udine, Italy",€€,"Regional Cuisine, Traditional Cuisine",39546.38.00,10329.22.00,no,no
MIC-012637,ADM-000001,Trattoria 'petito,"via Corridoni 14, Forlì, 47121, Italy","Forlì, Italy",€€,"Cuisine from Romagna, Seasonal Cuisine",7697.55.00,36365.07.00,sì,sì
MIC-012638,ADM-000001,Federico II,"via Duomo 30, Termoli, 86039, Italy","Termoli, Italy",€€,"Seafood, Classic Cuisine",166238.02.00,765.01.00,no,no
MIC-012639,ADM-000001,La Braja,"via San Giovanni Bosco 11, Montemagno, 14030, Italy","Montemagno, Italy",€€€,"Piedmontese, Traditional Cuisine",53490.07.00,16403.42.00,sì,sì
MIC-012640,ADM-000001,Patauner,"via Bolzano 6, Settequerce, 39018, Italy","Settequerce, Italy",€€,"Regional Cuisine, Traditional Cuisine",45687.37.00,85251.28.00,no,no
MIC-012641,ADM-000001,Da Nilo,"piazza Garibaldi 31, Cetona, 53040, Italy","Cetona, Italy",€€,Tuscan,150083.44.00,160792.08.00,sì,sì
MIC-012642,ADM-000001,Quartopiano,"via Chiabrera 34/c, Rimini, 47924, Italy","Rimini, Italy",€€,"Creative, Seafood",1002.55.00,123.35.00,no,no
MIC-012643,ADM-000001,Ristorante Da Anita - Chalet Prà delle Nasse,"via Cavallazza 24, località Prà delle Nasse, San Martino di Castrozza, 38054, Italy","San Martino di Castrozza, Italy",€€,"Regional Cuisine, Alpine",1340.59.00,43907.55.00,sì,sì
MIC-012644,ADM-000001,Da Politano,"via Santuario 125, Boves, 12012, Italy","Boves, Italy",€€,"Country cooking, Contemporary",87311.03.00,55520.53.00,no,no
MIC-012645,ADM-000001,Antica Osteria del Ponte,"piazza Gaetano Negri 9, Cassinetta di Lugagnano, 20081, Italy","Cassinetta di Lugagnano, Italy",€€€,Italian Contemporary,151642.17.00,71040.22.00,sì,sì
MIC-012646,ADM-000001,Scaraboci,"via XX Settembre 27, Marciana Marina, 57033, Italy","Marciana Marina, Italy",€€,"Creative, Seafood",342.38.00,1383.12.00,no,no
MIC-012647,ADM-000001,Cacciani,"via Diaz 13, Frascati, 00044, Italy","Frascati, Italy",€€,"Cuisine from Lazio, Classic Cuisine",113161.53.00,134638.15.00,sì,sì
MIC-012648,ADM-000001,La Terrazza,"via Benaco 24, Torbole, 38069, Italy","Torbole, Italy",€€,"Seafood, Classic Cuisine",14593.22.00,144898.28.00,no,no
MIC-012649,ADM-000001,Sichelburg,"via Castello 1a, Pfalzen, 39030, Italy","Pfalzen, Italy",€€,Creative,147164.57.00,135795.17.00,sì,sì
MIC-012650,ADM-000001,Il Verso del Ghiottone,"via Demagistris 5, Dogliani, 12063, Italy","Dogliani, Italy",€€,"Piedmontese, Seafood",158183.01.00,88039.14.00,no,no
MIC-012651,ADM-000001,Trattoria del Nuovo Macello,"via Cesare Lombroso 20, Milan, 20137, Italy","Milan, Italy",€€,"Lombardian, Modern Cuisine",37798.17.00,76052.26.00,sì,sì
MIC-012652,ADM-000001,Antica Pesa,"via Garibaldi 18, Rome, 00153, Italy","Rome, Italy",€€,"Roman, Cuisine from Lazio",789.18.00,189.26.00,no,no
MIC-012653,ADM-000001,Osteria dei Vespri,"piazza Croce dei Vespri 6, Palermo, 90133, Italy","Palermo, Italy",€€€,"Modern Cuisine, Seasonal Cuisine",60984.12.00,1950.38.00,sì,sì
MIC-012654,ADM-000001,Riva,"via Riva 16, Ponte dell'Olio, 29028, Italy","Ponte dell'Olio, Italy",€€,Modern Cuisine,104814.42.00,142854.39.00,no,no
MIC-012655,ADM-000001,Antica Trattoria del Gallo,"via Privata Gerli 3, Vigano, 20083, Italy","Vigano, Italy",€€,Lombardian,4092.33.00,63367.28.00,sì,sì
MIC-012656,ADM-000001,San Michele,"via Castello di Fagagna 33, Fagagna, 33034, Italy","Fagagna, Italy",€€,Modern Cuisine,14645.04.00,1961.08.00,no,no
MIC-012657,ADM-000001,L'Angolino da Filippo,"via Sangritana 1, Marina di San Vito, 66038, Italy","Marina di San Vito, Italy",€€,"Seafood, Classic Cuisine",74343.56.00,51437.54.00,sì,sì
MIC-012658,ADM-000001,L'antica Pizzeria da Michele,"via Cesare Sersale 1/7, Naples, 80139, Italy","Naples, Italy",€,Pizza,43929.03.00,141660.14.00,no,no
MIC-012659,ADM-000001,Pierre Alexis 1877,"via Marconi 50/a, Courmayeur, 11013, Italy","Courmayeur, Italy",€€€,"Traditional Cuisine, Modern Cuisine",162387.28.00,131614.25.00,sì,sì
MIC-012660,ADM-000001,Da Gigetto,"via De Gasperi 5, Miane, 31050, Italy","Miane, Italy",€€,"Regional Cuisine, Modern Cuisine",15018.15.00,15745.04.00,no,no
MIC-012661,ADM-000001,La Maison Delfino,"via Lagrange 4, borgo Mercato, Moncalieri, 10024, Italy","Moncalieri, Italy",€€,Seafood,112287.25.00,66.03.00,sì,sì
MIC-012662,ADM-000001,Doppio Gusto,"via Luigi Rizzo 1/2, Milazzo, 98057, Italy","Milazzo, Italy",€€€,"Seafood, Classic Cuisine",4043.56.00,36716.37.00,no,no
MIC-012663,ADM-000001,Aquariva,"via Marconi 57, Padenghe sul Garda, 25080, Italy","Padenghe sul Garda, Italy",€€€,"Seafood, Classic Cuisine",862.19.00,867.56.00,sì,sì
MIC-012664,ADM-000001,Fana Ladina,"via Plan de Corones 10, San Vigilio di Marebbe, 39030, Italy","San Vigilio di Marebbe, Italy",€€,"Regional Cuisine, Country cooking",155200.34.00,116670.32.00,no,no
MIC-012665,ADM-000001,L'Accanto,"via Santa Maria Vecchia 2, loc. Seiano, Vico Equense, 80066, Italy","Vico Equense, Italy",€€€,Modern Cuisine,70237.27.00,109778.42.00,sì,sì
MIC-012666,ADM-000001,All'Olivo,"Via Arancio 38, Lucca, 55100, Italy","Lucca, Italy",€€,"Tuscan, Classic Cuisine",84251.22.00,140537.52.00,no,no
MIC-012667,ADM-000001,Il Funghetto,"strada Litoranea 11412, località Borgo Grappa, Latina, 04010, Italy","Latina, Italy",€€,"Seafood, Seasonal Cuisine",157691.03.00,65371.37.00,sì,sì
MIC-012668,ADM-000001,Alex,"via Versilia 157/159, Marina di Pietrasanta, 55045, Italy","Marina di Pietrasanta, Italy",€€€,"Mediterranean Cuisine, Italian",34000.46.00,15428.57.00,no,no
MIC-012669,ADM-000001,Osteria della Corte,"via Napoli 86, La Spezia, 19122, Italy","La Spezia, Italy",€€,Mediterranean Cuisine,13603.08.00,1852.44.00,sì,sì
MIC-012670,ADM-000001,Antico Ristorante Forassiepi,"via della Contea 1, Montecarlo, 55015, Italy","Montecarlo, Italy",€€€,"Mediterranean Cuisine, Italian Contemporary",111735.04.00,141645.08.00,no,no
MIC-012671,ADM-000001,Chichibio,"via Guglielmo Marconi 1, Roccaraso, 67037, Italy","Roccaraso, Italy",€€,"Modern Cuisine, Cuisine from Abruzzo",1348.46.00,14148.54.00,sì,sì
MIC-012672,ADM-000001,Da Andrea,"viale della Vittoria 68, Marina di Cecina, 57023, Italy","Marina di Cecina, Italy",€€,Seafood,839.06.00,534.18.00,no,no
MIC-012673,ADM-000001,Ippogrifo,"via Gestro 9 r, Genoa, 16129, Italy","Genoa, Italy",€€€,"Seafood, Classic Cuisine",165.33.00,110.13.00,sì,sì
MIC-012674,ADM-000001,Enoteca San Nicola,"contrada di San Nicola 11/a, Bobbio, 29022, Italy","Bobbio, Italy",€,"Country cooking, Traditional Cuisine",64286.18.00,127810.39.00,no,no
MIC-012675,ADM-000001,Ai Gondolieri,"fondamenta de l'Ospedaleto, sestiere Dorsoduro 366, Venice, 30123, Italy","Venice, Italy",€€€,"Venetian, Traditional Cuisine",55135.22.00,71762.07.00,sì,sì
MIC-012676,ADM-000001,Tavola di Guido,"Località Le Piazze 41, Castellina in Chianti, 53011, Italy","Castellina in Chianti, Italy",€€€,Tuscan,40184.26.00,75640.37.00,no,no
MIC-012677,ADM-000001,Svevia,"via Giudicato Vecchio 24, Termoli, 86039, Italy","Termoli, Italy",€€,"Mediterranean Cuisine, Seafood",166240.52.00,985.16.00,sì,sì
MIC-012678,ADM-000001,Santa Teresa,"via di Porta Soprana 55 r, Genoa, 16123, Italy","Genoa, Italy",€€,"Modern Cuisine, Farm to table",155603.02.00,67748.39.00,no,no
MIC-012679,ADM-000001,ZELO,"via Gesù 6/8, Milan, 20121, Italy","Milan, Italy",€€€€,Modern Cuisine,3267.22.00,827.44.00,sì,sì
